"id"	"codigo_localidad"	"codigo_postal"	"nombre_localidad"	"nombre_localidad_resumido"	"id_departamento"	"id_provincia"	"ver"
1812	1812		LASPIUR, SATURNINO M.	LASPIUR, SATURNINO M	210	5	v.1
119	119		BELLOCO	BELLOCO	71	1	v.1
230	230		CORONEL BOERR	CORONEL BOERR	106	1	v.1
552	552		LAVALLOL	LAVALLOL	65	1	v.1
5030	5030		MEDELLIN	MEDELLIN	546	21	v.1
97	97		BALNEARIO ORENSE	BALNEARIO ORENSE	63	1	v.1
3852	3852		LA MERCED	LA MERCED	448	16	v.1
4646	4646		LABORDEBOY	LABORDEBOY	502	20	v.1
1267	1267		PAMPA DEL INFIERNO	PAMPA DEL INFIERNO	177	3	v.1
5247	5247		EL GUARDAMONTE	EL GUARDAMONTE	567	23	v.1
5459	5459		CEPEDA	CEPEDA		20	v.1
4924	4924		COLONIA SAN JUAN	COLONIA SAN JUAN	540	21	v.1
4170	4170		EL AMPARO	EL AMPARO	487	18	v.1
2506	2506		LA ESMERALDA	LA ESMERALDA	271	7	v.1
4278	4278		SAN GERONIMO	SAN GERONIMO	481	18	v.1
4311	4311		VILLA REYNOLDS	VILLA REYNOLDS	488	18	v.1
2827	2827		SAN JAVIER	SAN JAVIER	290	9	v.1
3480	3480		SALTO	SALTO	385	13	v.1
1837	1837		LOS MEDANITOS	LOS MEDANITOS	217	5	v.1
4837	4837	2204	TIMBUES	TIMBUES	506	20	v.1
2752	2752		EL REMATE	EL REMATE	291	9	v.1
1423	1423		ALTO ALEGRE	ALTO ALEGRE	216	5	v.1
1373	1373		LELEQUE	LELEQUE	193	4	v.1
4796	4796	2200	SAN LORENZO	SAN LORENZO	506	20	v.1
281	281		DRABBLE	DRABBLE	64	1	v.1
3356	3356		ZAPATA	ZAPATA	361	12	v.1
5211	5211		BENJAMIN PAZ	BENJAMIN PAZ	565	23	v.1
590	590		MAGDALA	MAGDALA	11	1	v.1
5431	5431		VILLA LUJAN	VILLA LUJAN	574	23	v.1
2745	2745		EL CARRIL	EL CARRIL	298	9	v.1
4575	4575		GARIBALDI	GARIBALDI	511	20	v.1
4751	4751		RAMONA	RAMONA	511	20	v.1
729	729		PIROVANO	PIROVANO	128	1	v.1
2651	2651		FORTIN SOLEDAD	FORTIN SOLEDAD	280	8	v.1
1285	1285		SANTA SYLVINA	SANTA SYLVINA	164	3	v.1
4683	4683		MACIEL	MACIEL	514	20	v.1
450	450		INGENIERO SANTIAGO BRIAN ,AP.	INGENIERO SANTIAGO B	3	1	v.1
5315	5315		LA CRUZ	LA CRUZ	564	23	v.1
987	987		AGUA DE LAS PALOMAS	AGUA DE LAS PALOMAS	146	2	v.1
956	956		VILLA LYCH PUEYRREDON	VILLA LYCH PUEYRREDO	128	1	v.1
2642	2642		EL COATI	EL COATI	281	8	v.1
898	898		TIMOTE ,EST.	TIMOTE ,EST.	101	1	v.1
3036	3036		EL ALTO	EL ALTO	347	11	v.1
188	188		CASTILLO, RAFAEL	CASTILLO, RAFAEL	3	1	v.1
1512	1512		CHALACEA CENTRO	CHALACEA CENTRO	221	5	v.1
1398	1398		SIERRA CHATA	SIERRA CHATA	196	4	v.1
3704	3704		RIO CHICO ,EST.CERRO MESA	RIO CHICO ,EST.CERRO	418	15	v.1
1605	1605		EL DIQUECITO ,AP.	EL DIQUECITO ,AP.	205	5	v.1
3463	3463		PUERTO PARAISO	PUERTO PARAISO	394	13	v.1
465	465		JUAREZ, BENITO ,EST.JUAREZ	JUAREZ, BENITO ,EST.	109	1	v.1
3880	3880		MARTINEZ DEL TINEO	MARTINEZ DEL TINEO	431	16	v.1
4474	4474		CARCARAÑA	CARCARAÑA	506	20	v.1
710	710		PERALTA	PERALTA	69	1	v.1
4063	4063		PANACAN	PANACAN	460	17	v.1
2800	2800		ORATORIO	ORATORIO	297	9	v.1
4222	4222		LAS CHACRAS	LAS CHACRAS	481	18	v.1
1051	1051		HUAYCAMA	HUAYCAMA	154	2	v.1
3871	3871		LOS BAÑOS	LOS BAÑOS	435	16	v.1
4288	4288		SANTA ROSA	SANTA ROSA	484	18	v.1
3636	3636		GARAY, JUAN DE	GARAY, JUAN DE	422	15	v.1
5396	5396	4000	SAN MIGUEL DE TUCUMAN ,EST.TUCUMAN	SAN MIGUEL DE TUCUMA	574	23	v.1
3534	3534		CORTADERA	CORTADERA	405	14	v.1
3987	3987		ALTO DE SIERRA	ALTO DE SIERRA	463	17	v.1
2199	2199		CAZA PAVA	CAZA PAVA	254	6	v.1
